Date,AssetType,metric,mean,p25,p50,p75,std
2012Q1,ETF,Cancel_to_Trade,814.332724208227,71.18162250499208,260.181045751634,749.0625,1412.7536649345343
2012Q1,ETF,Cancels,99389.63,5437.25,13053.0,61649.25,192677.99911049876
2012Q1,ETF,Hidden,106.41,0.0,2.5,43.75,375.5946959909919
2012Q1,ETF,HiddenRate,48.337920843722074,45.62967273240231,47.96162068614476,50.0,7.475793453770386
2012Q1,ETF,HiddenVol,34.67613739999999,0.0,0.4,8.20075,121.28975028272708
2012Q1,ETF,HiddenVolumePct,91.85163560936408,93.49110190228929,96.28747113164721,98.86325553243834,13.533900702399242
2012Q1,ETF,LitTrades,1205.3,2.0,16.0,262.75,4045.8881246484943
2012Q1,ETF,LitVol,392.38015019999983,0.2435,3.715,59.73,1300.690134502021
2012Q1,ETF,OddLotVol,6.4603600000000005,0.00175,0.1285,2.545,20.218699122656858
2012Q1,ETF,OddLots,150.15,1.0,4.0,53.5,454.22070848894816
2012Q1,ETF,OddlotRate,9.992415419659922,4.0701754385964914,7.408354646206309,12.502025406701666,8.968971440587197
2012Q1,ETF,OddlotVolumePct,6.173142283935438,0.715171307238153,2.1785208319787417,4.589082934603887,11.233559239860785
2012Q1,ETF,OrderVol,151579.88607719957,5616.689249999999,21374.197500000002,102626.34975,318608.3157843395
2012Q1,ETF,TradeVol,433.6650627999996,0.5960000000000001,4.397,77.37374999999999,1434.3036564263718
2012Q1,ETF,TradeVolForHidden,399.6608443999996,0.5,4.1905,74.018,1274.907325077855
2012Q1,ETF,Trade_to_OrderVol,0.001781398943268551,6.331935219253877e-05,0.0002600113807760603,0.0015998852038467302,0.004040204398845846
2012Q1,ETF,Trades,2667.16,8.0,38.5,671.25,8894.74176267341
2012Q1,ETF,TradesForHidden,1303.95,3.75,18.0,342.0,4388.955225013319
2012Q1,Stock,Cancel_to_Trade,23.90601558922818,6.736448598130841,12.183288409703504,20.494004391150142,43.168649120585286
2012Q1,Stock,Cancels,60300.32,3394.75,15735.0,59993.75,114271.49363340666
2012Q1,Stock,Hidden,295.3141999999999,20.0,78.0,219.0,652.4897136542502
2012Q1,Stock,HiddenRate,48.00403737491566,44.56312611955152,47.082990961380446,50.0,5.217105180379339
2012Q1,Stock,HiddenVol,51.02421369999999,2.26525,9.6675,26.92025,130.36698581893205
2012Q1,Stock,HiddenVolumePct,81.7803877082468,67.83467120148727,87.43080192249816,94.73130362238837,15.40562871623668
2012Q1,Stock,LitTrades,2671.2041999999997,94.25,480.0,2228.5,6027.484062058403
2012Q1,Stock,LitVol,503.67816509999994,14.82825,66.146,328.1345,1326.143705558587
2012Q1,Stock,OddLotVol,20.461560199999997,0.9854999999999999,6.5504999999999995,19.26,41.90579172884328
2012Q1,Stock,OddLots,515.6996,28.5,163.0,443.5,1100.545281730485
2012Q1,Stock,OddlotRate,11.818053133741657,6.979495268138801,10.242587601078167,16.822429906542055,7.2371775855760365
2012Q1,Stock,OddlotVolumePct,7.771246614459203,2.9690291964999354,5.992178466095859,11.147600802773216,6.57494843262844
2012Q1,Stock,OrderVol,22425.24327,801.77475,3622.772,13125.268,72876.23925940326
2012Q1,Stock,TradeVol,576.8899813999998,21.725749999999998,79.9465,381.64750000000004,1488.6777872723442
2012Q1,Stock,TradeVolForHidden,484.0826971999998,17.11525,67.6845,264.605,1260.5700772797557
2012Q1,Stock,Trade_to_OrderVol,0.046407808946209925,0.015035311395942969,0.026375488061304457,0.04599620958075052,0.055914045227604486
2012Q1,Stock,Trades,6267.0796,239.75,1230.0,5098.0,14120.461130224236
2012Q1,Stock,TradesForHidden,3033.009999999999,118.75,535.5,2392.0,6996.25891299605
2012Q2,ETF,Cancel_to_Trade,493.73413722181647,47.40602582496413,233.73333333333332,513.025,811.6906930063296
2012Q2,ETF,Cancels,86990.58181818182,3455.0,13641.0,70348.0,165757.02003157398
2012Q2,ETF,Hidden,149.02020202020202,0.0,2.0,49.0,526.8711839583494
2012Q2,ETF,HiddenRate,48.72315835351646,44.56119307504698,48.86259157101759,51.38084530310679,8.17718175642801
2012Q2,ETF,HiddenVol,47.31132808080806,0.0,0.3,11.586,175.92768048066077
2012Q2,ETF,HiddenVolumePct,92.4843777439794,93.50970844488714,97.09231577194534,99.29671725439854,12.798192265688385
2012Q2,ETF,LitTrades,1386.010101010101,4.0,18.0,253.5,4591.505372046252
2012Q2,ETF,LitVol,431.0157038383838,0.4,4.5,68.8885,1447.9781421100326
2012Q2,ETF,OddLotVol,7.282767676767677,0.008,0.129,2.6944999999999997,22.254864520666718
2012Q2,ETF,OddLots,189.03030303030303,1.0,4.0,70.0,565.8412998565735
2012Q2,ETF,OddlotRate,9.783275053784687,3.402737613263929,7.142857142857142,13.766102551149281,9.084287205630265
2012Q2,ETF,OddlotVolumePct,6.245648801246212,0.5543628384687236,2.3714061728088933,5.835646131548228,10.848907237916116
2012Q2,ETF,OrderVol,106136.05502222221,3328.2529999999997,13226.072,98183.16949999999,216161.53176027356
2012Q2,ETF,TradeVol,489.3098905050505,0.5505,4.7509999999999994,80.08550000000001,1652.8476286365446
2012Q2,ETF,TradeVolForHidden,462.7057583838384,0.498,4.5,79.745,1532.0100658753743
2012Q2,ETF,Trade_to_OrderVol,0.0021702941738597015,6.847557253958193e-05,0.0004961809820131893,0.002259927940190846,0.004425465727479725
2012Q2,ETF,Trades,3110.070707070707,10.5,41.0,701.5,10213.281763101444
2012Q2,ETF,TradesForHidden,1528.5555555555557,4.0,20.0,360.5,5074.631234661337
